ano,meses,dia,fechamentoibov,aberturaibov,maxibov,minibov,volibov,aberturausd,maxusd,minusd,fechamentousd,volusd
2010,3,16,69942.000000,69023.000000,69949.000000,69022.000000,1302400,1.713600,1.766200,1.713600,1.766200,0
2010,3,17,69723.000000,69945.000000,70424.000000,69376.000000,1372000,1.717000,1.766200,1.717000,1.762000,0
2010,3,18,69697.000000,69726.000000,70128.000000,68972.000000,1656200,1.712600,1.788400,1.712600,1.771000,0
2010,3,19,68829.000000,69701.000000,69998.000000,68773.000000,1957400,1.740600,1.799400,1.740600,1.795000,0
2010,3,22,69042.000000,68814.000000,69121.000000,67899.000000,1395200,1.750900,1.809700,1.750900,1.799000,0
2010,3,23,69387.000000,69049.000000,69613.000000,68913.000000,1606600,1.749300,1.791900,1.736900,1.780600,0
2010,3,24,68913.000000,69382.000000,69677.000000,68744.000000,1597400,1.726700,1.793300,1.726700,1.793300,0
2010,3,25,68442.000000,68916.000000,69572.000000,68377.000000,1478400,1.741300,1.802900,1.741300,1.799000,0
2010,3,26,68683.000000,68442.000000,68910.000000,68024.000000,1771400,1.770600,1.823000,1.770600,1.823000,0
2010,3,29,69939.000000,68681.000000,69943.000000,68681.000000,1528000,1.772300,1.815900,1.772300,1.808500,0
2010,3,30,69960.000000,69942.000000,70451.000000,69750.000000,1490000,1.802600,1.802600,1.744900,1.793800,0
2010,3,31,70372.000000,69960.000000,70392.000000,69573.000000,1676800,1.739100,1.789100,1.739100,1.780500,0
2010,4,1,71136.000000,70375.000000,71401.000000,70373.000000,1552800,1.730200,1.777600,1.730200,1.765400,0
2010,4,5,71290.000000,71148.000000,71645.000000,71148.000000,1316000,1.717800,1.760500,1.717800,1.760500,0
2010,4,6,71096.000000,71290.000000,71711.000000,70823.000000,1697000,1.717800,1.767100,1.711200,1.753000,0
2010,4,7,70793.000000,71092.000000,71257.000000,70531.000000,1720400,1.704400,1.777000,1.704400,1.777000,0
2010,4,8,71785.000000,70793.000000,71805.000000,70462.000000,1701800,1.712500,1.787400,1.712500,1.773000,0
2010,4,9,71417.000000,71783.000000,71989.000000,71307.000000,1680000,1.730100,1.777900,1.730100,1.771000,0
2010,4,12,70614.000000,71414.000000,71607.000000,70505.000000,1471600,1.714700,1.766600,1.714700,1.756200,0
